geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
afg,Afghanistan,30000,35000,42000,49000,54000,58000,62000,63000,62000,63000,62000,60000,59000,61000,65000,68000,71000,75000,78000,80000,80000,82000,84000,84000,87000
ago,Angola,44000,56000,68000,78000,87000,95000,101000,106000,108000,110000,112000,113000,115000,119000,122000,125000,126000,126000,126000,126000,125000,128000,135000,141000,141000
alb,Albania,680,620,670,620,620,570,530,490,480,500,480,470,460,530,460,470,470,570,500,460,450,430,430,420,410
and,Andorra,12,10,5,11,7,10,12,5,4,8,7,3,9,5,6,4,4,1,2,5,2,2,4,4,4
are,UAE,280,170,200,240,180,190,160,170,160,200,220,170,130,130,91,89,93,95,120,110,81,81,79,81,70
arg,Argentina,18000,17000,17000,16000,16000,15000,13000,14000,13000,10000,9800,13000,11000,12000,12000,12000,13000,13000,13000,15000,12000,15000,16000,18000,20000
arm,Armenia,3600,3600,3500,3600,3800,4800,3700,3400,3200,2900,2500,2200,2000,2300,2100,1800,1600,1300,1100,910,830,750,680,620,550
atg,Antigua and Barbuda,4,1,4,1,4,6,4,2,1,3,7,6,3,10,3,3,3,1,5,,2,4,1,1,1
aus,Australia,1300,1200,1300,1200,1300,1300,1400,1400,1500,1600,1500,1500,1500,1500,1500,1400,1600,1600,1600,1700,1800,1700,1500,1600,1900
aut,Austria,1800,1500,1500,1300,1200,1200,1100,1000,960,830,820,830,760,760,680,670,730,670,560,550,450,450,430,480,450
aze,Azerbaijan,15000,15000,16000,12000,18000,20000,17000,15000,20000,22000,17000,19000,13000,11000,10000,9300,8500,8400,7800,7300,7000,6900,6900,6800,6600
bdi,Burundi,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,13000,13000,13000,12000,12000,12000,12000,12000,12000
bel,Belgium,1700,1800,1600,1400,1400,1400,1300,1200,1200,1100,1200,1100,1100,1100,1000,1100,1100,1100,1000,1000,900,950,910,290,320
ben,Benin,5100,5600,6000,6300,6700,7000,7300,7500,7600,7700,7700,7600,7500,7400,7200,7100,6900,6800,6600,6400,6300,6200,6000,5900,5800
bfa,Burkina Faso,11000,11000,11000,11000,12000,12000,12000,12000,12000,12000,12000,12000,12000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
bgd,Bangladesh,298000,303000,307000,312000,316000,320000,324000,327000,331000,334000,337000,340000,343000,346000,349000,353000,356000,359000,362000,365000,368000,371000,375000,379000,384000
bgr,Bulgaria,6600,7500,6300,6000,5500,5700,5500,4900,4900,4400,3900,3400,3200,2900,2700,2400,2200,2000,1800,1700,1200,900,1000,1100,830
