geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
afg,Afghanistan,148,175,197,215,228,237,242,241,235,229,218,204,194,194,197,200,204,209,212,213,205,206,206,204,203
ago,Angola,270,336,390,434,468,491,507,509,499,489,480,469,458,453,451,445,433,418,403,390,373,371,379,383,373
alb,Albania,21,20,21,20,20,19,17,16,16,17,17,16,16,18,16,16,16,20,17,16,15,15,15,15,15
and,Andorra,18,15,7.5,16,9.4,13,15,6.1,4.8,9.5,8.7,3.9,12,6.6,8.1,5.5,5.5,1.4,2.7,6.5,2.6,2.6,5,4.9,4.9
are,UAE,8.1,4.6,4.9,5.7,4,4.1,3.3,3.1,2.6,3,3.2,2.4,1.7,1.6,1.1,1,1,1,1.2,1.2,0.85,0.82,0.77,0.76,0.63
arg,Argentina,49,46,45,41,42,38,34,35,31,25,24,31,27,27,27,28,30,29,30,33,27,34,35,39,44
arm,Armenia,115,116,116,120,125,161,124,114,108,98,86,75,70,79,73,63,54,43,37,31,29,26,24,21,19
atg,Antigua and Barbuda,5.3,1.3,5.2,1.3,4.6,7.5,5,2.4,1.2,3.6,8.2,7,3.4,11,3.4,3.8,3.3,1.1,5.5,,2.2,4.3,1.1,1.1,1.1
aus,Australia,6.8,6.3,6.4,5.9,6.6,6.3,6.9,6.5,6.9,7.2,6.8,6.6,6.7,6.3,6.5,6,6.5,6.6,6.5,6.8,7.2,6.5,5.6,6.2,6.9
aut,Austria,22,18,18,16,15,15,13,13,12,10,9.8,9.9,9,8.9,7.9,7.8,8.4,7.6,6.3,6.2,5.1,5.1,4.7,5.3,4.9
aze,Azerbaijan,183,176,189,145,208,237,200,175,219,249,183,206,134,115,107,95,86,84,78,73,69,67,67,66,64
bdi,Burundi,213,209,205,200,194,188,182,175,168,160,154,148,142,136,130,124,118,112,106,102,97,93,89,86,83
bel,Belgium,17,17,15,13,14,13,12,11,11,10,11,10,9.7,9.5,9.2,9.5,10,9.2,9.1,8.9,7.8,8.2,7.8,2.5,2.7
ben,Benin,71,75,78,80,82,83,84,84,83,81,79,76,73,69,66,62,59,56,53,51,48,46,44,42,40
bfa,Burkina Faso,93,91,89,87,85,84,82,80,79,77,76,74,73,71,70,68,67,66,64,63,62,61,59,58,57
bgd,Bangladesh,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221
bgr,Bulgaria,83,94,80,77,71,75,72,64,66,59,53,47,44,41,38,33,31,28,25,25,17,13,15,17,12
bhr,Bahrain,57,49,45,56,48,51,47,46,44,44,32,29,28,24,21,18,15,14,14,16,17,17,16,14,12
bhs,Bahamas,57,39,25,19,25,21,25,19,20,18,12,15,12,12,18,21,30,17,15,17,10,14,16,8.8,18
bih,Bosnia and Herzegovina,158,141,87,84,103,87,73,99,73,74,57,59,61,54,51,46,38,32,28,25,25,23,21,20,21
blr,Belarus,153,121,110,124,111,105,97,97,88,87,81,73,73,67,56,54,45,38,31,29,26,24,22,19,17
blz,Belize,113,131,119,80,61,70,55,38,50,48,75,36,40,55,31,33,49,47,39,35,34,35,35,34,34
bol,Bolivia,402,382,362,342,321,300,279,257,235,214,195,177,161,147,134,123,113,104,98,95,94,96,99,105,114
bra,Brazil,49,46,50,51,52,48,44,44,44,43,42,42,42,42,41,41,41,43,45,45,45,47,49,49,49
