geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
afg,Afghanistan,50,55,59,68,67,66,64,59,58,60,54,49,46,45,46,44,39,38,39,36,37,36,34,34,34
ago,Angola,90,108,114,123,145,157,140,150,159,147,157,139,140,128,138,127,123,126,97,81,81,80,85,78,75
alb,Albania,0.74,0.66,0.64,0.61,0.85,0.4,0.36,0.53,0.54,0.18,0.31,0.31,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.35,0.36,0.37,0.37,0.34,0.32
and,Andorra,1.7,1.4,0.67,1.4,0.87,1.2,1.4,0.57,0.45,0.9,0.78,,,,,,,,,,0.24,0.24,0.47,0.47,0.47
are,UAE,0.82,0.74,0.73,0.73,0.7,0.69,1.1,0.75,0.84,0.74,0.73,0.71,0.72,0.69,0.69,0.68,0.7,0.7,0.68,0.67,0.69,0.68,0.68,0.68,0.68
arg,Argentina,3.6,3.3,3.2,2.9,2.7,2.6,2.5,2.6,2.2,2.2,1.9,2.3,2,2.1,2,2,2.1,1.9,2,1.9,1.7,2,2.2,1.7,1.8
arm,Armenia,6.3,6,6.9,6.7,7.3,8.4,8.3,8.4,7.9,6.9,6,5.1,6.1,5,4.4,4.2,2.9,2.6,2.2,2.3,3,1.7,1.6,1.7,1.4
atg,Antigua and Barbuda,1.9,1.5,1.7,1.5,1.5,1.6,1.7,1.4,1.4,2,2.9,2.4,2,2.6,1.9,2.3,2.3,2.4,2.5,2.5,1.8,1.2,1.2,1.2,1.2
aus,Australia,0.42,0.55,0.44,0.35,0.4,0.37,0.35,0.29,0.34,0.31,0.29,0.29,0.17,0.25,0.22,0.24,0.22,0.22,0.24,0.2,0.15,0.2,0.14,0.15,0.15
aut,Austria,1.3,1,1.1,0.77,0.72,0.8,0.79,0.65,0.67,0.64,0.52,0.72,0.55,0.84,0.86,0.77,0.47,0.43,0.57,0.48,0.48,0.37,0.42,0.43,0.43
