geo,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
afg,Afghanistan,,,12,11,14,15,12,38,53,68,81,97,97
ago,Angola,,,31,36,36,,43,43,65,56,60,92,63
alb,Albania,,,,,,,26,30,30,33,33,50,75
and,Andorra,,,100,100,100,100,100,100,100,100,100,100,100
are,UAE,,,,,,20,100,20,100,20,20,20,20
arg,Argentina,,,11,29,80,63,92,100,100,100,100,100,100
arm,Armenia,49,60,80,80,80,80,90,100,100,100,100,100,100
atg,Antigua and Barbuda,,,,,100,100,100,100,100,,100,,
aus,Australia,,,,37,37,54,54,54,63,63,88,97,100
aut,Austria,,,,,,100,100,100,100,100,100,100,100
aze,Azerbaijan,30,12,12,12,12,12,4,32,48,88,100,100,100
bdi,Burundi,100,100,100,6,100,,90,91,100,100,100,100,100
bel,Belgium,,,,,,,100,100,100,100,100,100,100
ben,Benin,97,100,100,100,100,100,,100,100,100,100,100,
bfa,Burkina Faso,44,80,80,98,100,100,100,100,100,100,100,100,100
bgd,Bangladesh,41,65,80,90,90,92,95,95,99,99,99,100,100
bgr,Bulgaria,,,,,,3,56,78,100,100,100,100,100
bhr,Bahrain,,,,,100,100,100,100,100,100,100,100,100
bhs,Bahamas,,,,,100,100,,100,100,100,,,100
bih,Bosnia and Herzegovina,,,,27,100,100,100,100,100,100,100,100,100
blr,Belarus,,,,,,,,,70,70,100,100,100
blz,Belize,,100,100,,,100,100,100,100,100,100,100,100
bol,Bolivia,50,100,100,57,100,70,100,86,100,60,47,47,100
bra,Brazil,,,,3,7,7,32,25,34,52,68,86,75
brb,Barbados,,,,,,,100,100,,100,,100,100
brn,Brunei,,,,,100,100,100,100,100,100,100,100,100
btn,Bhutan,100,100,100,100,100,100,100,100,100,100,100,90,100
bwa,Botswana,100,100,100,100,100,100,100,100,100,100,100,100,100
caf,Central African Republic,,67,,,,,30,75,68,8,17,70,
can,Canada,,,,,100,100,100,100,100,100,100,100,100
che,Switzerland,,,,,,,,,,,,,20
chl,Chile,100,100,100,100,100,100,100,100,100,95,100,100,100
chn,China,49,60,64,64,64,68,68,78,91,96,100,100,100
civ,Cote d'Ivoire,100,100,100,94,10,60,21,74,74,74,74,100,100
cmr,Cameroon,,13,,31,36,46,64,90,100,100,100,90,100
cod,"Congo, Dem. Rep.",47,51,60,60,62,70,70,70,75,75,100,100,100
cog,"Congo, Rep.",100,,,100,,100,100,20,80,80,60,60,60
col,Colombia,,,,14,14,14,14,14,19,25,50,60,70
com,Comoros,100,100,,100,,100,,,100,100,100,100,
cpv,Cape Verde,,,,,,,30,,,,80,80,100
cri,Costa Rica,,,,,13,40,67,84,91,100,100,100,100
cub,Cuba,100,100,100,100,100,100,100,100,100,100,100,100,100
cyp,Cyprus,,,,100,100,,,100,100,100,100,100,100
cze,Czech Republic,100,100,100,100,100,100,100,100,100,100,100,100,100
deu,Germany,,,100,100,100,100,100,100,100,100,100,100,100
dji,Djibouti,,100,100,100,100,100,100,100,100,100,100,100,100
dma,Dominica,,,100,4,,,,100,,,,100,100
dnk,Denmark,,,,,,,,,10,100,100,100,100
dom,Dominican Republic,,,,,49,7,10,40,71,79,80,80,85
dza,Algeria,,,100,,,100,100,100,100,100,100,100,100
ecu,Ecuador,,,,,,,26,37,50,64,70,80,96
egy,Egypt,54,3,19,27,75,100,100,100,100,100,100,100,100
eri,Eritrea,,,19,60,60,80,40,60,60,84,86,86,93
esp,Spain,,,,,,,,,,,,,
